epoch,train_loss,val_loss
1,1.9405815492976795,
2,1.7668429287997158,
3,1.7504369020462036,
4,1.7632175142114812,
5,1.7604408047415994,1.762056867281596
6,1.7643066536296497,
7,1.7618157430128618,
8,1.7544989477504382,
9,1.757244803688743,
10,1.7582873647863215,1.7431206703186035
11,1.7610297419808127,
12,1.758803822777488,
13,1.7581423412669788,
14,1.7565552212975242,
15,1.75924982807853,1.770694653193156
16,1.7612176591699773,
17,1.755912098017606,
18,1.767242269082503,
19,1.7660320455377752,
20,1.7497390725395896,1.7464105288187664
21,1.7573454813523726,
22,1.7565513524142178,
23,1.752704999663613,
24,1.7548250501806086,
25,1.7626295306465842,1.7672305901845295
26,1.7774840268221768,
27,1.7572846629402854,
28,1.754876277663491,
29,1.7585005109960383,
30,1.7564527880061755,1.7448140780131023
31,1.7753690481185913,
32,1.758946180343628,
33,1.7620292793620715,
34,1.7510087815198032,
35,1.7717481851577759,1.7502354780832927
36,1.7554938034577803,
37,1.7564206340096213,
38,1.7555837847969749,
39,1.7616819576783613,
40,1.7598385160619563,1.7434239387512207
41,1.7639081153002651,
42,1.7660303657705134,
43,1.7594478238712659,
44,1.7674511562694202,
45,1.7671573703939265,1.7462113698323567
46,1.759526794606989,
47,1.7533965327522971,
48,1.7539419369264082,
49,1.768773783336986,
50,1.7688446153293957,1.7446819146474202
51,1.7565854571082375,
52,1.757130666212602,
53,1.7580686049027876,
54,1.7599977905100042,
55,1.7613738558509133,1.748360514640808
56,1.7659179839220913,
57,1.753146919337186,
58,1.7563499754125422,
59,1.7558248043060303,
60,1.762495149265636,1.7648314634958904
61,1.7651443914933638,
62,1.755481644110246,
63,1.7543071725151755,
64,1.758150425824252,
65,1.757966312495145,1.744404951731364
66,1.7556584639982744,
67,1.7558013634248213,
68,1.7606293721632524,
69,1.754053451798179,
70,1.753830075263977,1.7459726730982463
71,1.760436404835094,
72,1.7566902745853772,
73,1.7582964030179111,
74,1.755732081153176,
75,1.758629408749667,1.7457959651947021
