"Asset_Type","Avg_Excess_Kurtosis","Avg_Hurst","Avg_Tail_Index","Pct_Fat_Tailed","Pct_Has_Clustering","Pct_Has_Leverage"
"Equity",9.76256713504344,0.949432740268771,Inf,100,100,16.6666666666667
"FX",6.57064047537973,0.918916069970514,Inf,100,100,50
