Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Model_Type,Engine,Data_Source,Source_File,Sheet_Name
GBPUSD,NF_gjrGARCH,5.349107517056e-05,0.005246451849449,-34124.7483549712,-34086.2573921761,17068.3741774856,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPCNY,NF_gjrGARCH,5.10992956752979e-05,0.0051829201593857,-34215.5904892624,-34177.0995264673,17113.7952446312,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
USDZAR,NF_gjrGARCH,0.0001983804993313,0.0102745254773247,-28687.4162221169,-28648.9252593218,14349.7081110585,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPZAR,NF_gjrGARCH,0.0001577646585786,0.0091507330796284,-29523.0161174753,-29484.5251546802,14767.5080587376,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURZAR,NF_gjrGARCH,0.0001499940258683,0.0089236794321014,-29796.2238095339,-29757.7328467388,14904.1119047669,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NVDA,NF_gjrGARCH,0.0011417951079926,0.0241481360493949,-19808.017640428,-19769.5266776329,9910.00882021398,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
MSFT,NF_gjrGARCH,0.0003736338038121,0.0136043238954119,-25241.610057291,-25203.1190944959,12626.8050286455,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
PG,NF_gjrGARCH,0.0001712091782978,0.0090226414152989,-29039.420367809,-29000.9294050139,14525.7101839045,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
CAT,NF_gjrGARCH,0.0005080701176834,0.016007182526426,-23583.0816195265,-23544.5906567314,11797.5408097632,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
WMT,NF_gjrGARCH,0.0002136441520831,0.0101085229508642,-27935.3589610188,-27896.8679982237,13973.6794805094,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
AMZN,NF_gjrGARCH,0.0007001299466371,0.0183027855783028,-22400.0835745185,-22361.5926117234,11206.0417872593,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURUSD,NF_eGARCH,0.0001079686150129,0.0090981010052797,49151.6959605564,49190.1869233515,-24569.8479802782,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NVDA,NF_eGARCH,0.0014555560274839,0.0275136128416702,-19334.5137728707,-19296.0228100756,9673.25688643535,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
CAT,NF_eGARCH,3.54256054723052,1.88204458760994,52386.7493445408,52425.2403073359,-26187.3746722704,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURUSD,fGARCH,3.76305936305763e-05,0.0044733740861561,-34586.3649111898,-34547.8739483947,17299.1824555949,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPUSD,fGARCH,4.67110949008318e-05,0.0048793724750327,-34143.5793159374,-34105.0883531423,17077.7896579687,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPCNY,fGARCH,4.65353344511149e-05,0.0049409846436713,-34229.3263959653,-34190.8354331702,17120.6631979826,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
USDZAR,fGARCH,0.0001738804973186,0.009766135404879,-28681.2154638213,-28642.7245010262,14346.6077319106,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPZAR,fGARCH,0.0001406185333965,0.0087463944078197,-29514.4191158516,-29475.9281530565,14763.2095579258,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURZAR,fGARCH,0.0001380289281482,0.0086439973162039,-29791.0983563139,-29752.6073935188,14901.549178157,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NVDA,fGARCH,0.0011195454270903,0.0238029111472772,-19861.1615959475,-19822.6706331524,9936.58079797373,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
MSFT,fGARCH,0.0003635709753262,0.0133331599883088,-25285.28099443,-25246.7900316349,12648.640497215,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
PG,fGARCH,0.0001656804330113,0.0088060718771439,-29068.4703612036,-29029.9793984085,14540.2351806018,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
