"Model","Convergence_Rate","Avg_AIC","Avg_BIC","Avg_Log_Likelihood","Pass_LB_Test","Pass_ARCH_Test","Total_Tests","Robustness_Score"
"TGARCH",0.666666666666667,-4.8689278798203,-4.76013128843176,5947.61628499652,23,24,72,0.496527777777778
"eGARCH",0.666666666666667,-4.88364964481225,-4.7748530534237,5946.8661599335,21,24,72,0.489583333333333
"sGARCH_norm",0.666666666666667,-4.79370159164845,-4.731532110855,5810.76763658152,20,24,72,0.486111111111111
"gjrGARCH",0.652777777777778,-4.80745451118504,-4.70209331237519,6062.83758042719,22,23,72,0.482638888888889
"sGARCH_sstd",0.666666666666667,-4.84065273351444,-4.74739851232426,5932.50608589277,19,24,72,0.482638888888889
