"","NVDA","MSFT","PG","CAT","WMT","AMZN","EURUSD","GBPUSD","GBPCNY","USDZAR","GBPZAR","EURZAR"
"2016-07-12",1.29612231254578,47.420238494873,66.701904296875,64.0407180786133,20.7472724914551,37.4104995727539,1.1092,1.3161,8.8162,14.3199,18.8106,15.9152
"2016-07-13",1.29563117027283,47.6876029968262,66.8108215332031,63.9524459838867,20.8463821411133,37.1315002441406,1.1072,1.3297,8.8332,14.402,19.0509,15.9127
"2016-07-14",1.30888688564301,47.8925743103027,66.7952651977539,64.2493743896484,20.8690280914307,37.060001373291,1.1157,1.322,8.8999,14.3514,18.987,15.9358
"2016-07-15",1.29366719722748,47.8569297790527,66.904167175293,64.7629852294922,20.8605327606201,36.7719993591309,1.1128,1.3372,8.8469,14.314,19.1979,15.9558
"2016-07-18",1.30029535293579,48.0886344909668,66.8419342041016,64.6738357543945,20.908670425415,36.8035011291504,1.1053,1.3233,8.9036,14.3305,18.9922,15.8366
"2016-07-19",1.31379687786102,47.3133010864258,67.0286254882812,64.6090240478516,20.8577003479004,36.997501373291,1.1035,1.3168,8.7934,14.3062,18.9014,15.8427
"2016-07-20",1.33098018169403,49.8264579772949,66.8875045776367,64.5685272216797,20.8945140838623,37.2859992980957,1.1013,1.317,8.7931,14.2943,18.7434,15.7188
"2016-07-21",1.30643260478973,49.7284355163574,66.840461730957,64.8277893066406,20.8180561065674,37.2215003967285,1.1015,1.3185,8.8177,14.2739,18.863,15.7413
"2016-07-22",1.34202647209167,50.4146347045898,67.2010955810547,64.3173370361328,20.8265590667725,37.2430000305176,1.1014,1.3107,8.7314,14.2208,18.797,15.6876
"2016-07-25",1.36681997776031,50.5572395324707,67.263786315918,63.7582740783691,20.8831844329834,36.9804992675781,1.0982,1.3131,8.7631,14.3126,18.8082,15.7145
"2016-07-26",1.39014005661011,50.5839729309082,66.8482818603516,67.0478515625,20.8775272369385,36.7794990539551,1.0997,1.312,8.7471,14.381,18.8189,15.827
"2016-07-27",1.37614798545837,50.0759925842285,66.2132873535156,68.1417007446289,20.7614288330078,36.8334999084473,1.0991,1.3101,8.747,14.2897,18.7559,15.7186
"2016-07-28",1.37909376621246,50.0938262939453,66.487678527832,67.1856002807617,20.7387752532959,37.630500793457,1.109,1.3149,8.7298,14.2082,18.7733,15.786
"2016-07-29",1.40167784690857,50.5126686096191,67.0991744995117,67.0559692382812,20.6623229980469,37.9404983520508,1.1113,1.3177,8.8054,14.1532,18.6483,15.6988
"2016-08-01",1.39259517192841,50.4235572814941,67.7420120239258,66.3996734619141,20.8916778564453,38.3870010375977,1.1164,1.3181,8.7716,13.794,18.2398,15.412
"2016-08-02",1.37565732002258,50.4235572814941,68.0164108276367,65.8244018554688,20.7076282501221,38.0289993286133,1.1193,1.3236,8.8166,13.9849,18.4832,15.6617
"2016-08-04",1.40486907958984,51.1454124450684,67.4597854614258,66.2538223266602,20.7557601928711,38.038501739502,1.1136,1.3285,8.7162,13.8602,18.4237,15.4347
"2016-08-05",1.42868030071259,51.6533966064453,67.2481231689453,66.8939208984375,20.8860149383545,38.298999786377,1.1156,1.3159,8.6882,13.6935,18.0076,15.2559
"2016-08-08",1.44193589687347,51.7425193786621,67.2324600219727,67.6069412231445,20.7670879364014,38.3279991149902,1.1087,1.3066,8.6829,13.6461,17.8089,15.1336
"2016-08-10",1.43628978729248,51.7068710327148,67.6635894775391,66.9668197631836,21.0831642150879,38.4280014038086,1.1184,1.3068,8.6326,13.3829,17.4567,14.9173
"2016-08-11",1.46550178527832,51.9563980102539,67.9928970336914,67.4448852539062,21.0404014587402,38.5620002746582,1.1153,1.298,8.6029,13.3455,17.2858,14.8723
"2016-08-12",1.54749131202698,51.6355857849121,68.2359237670898,67.2504272460938,21.0660591125488,38.6279983520508,1.1158,1.2963,8.5806,13.3854,17.3468,14.9354
"2016-08-15",1.54601836204529,51.7959899902344,68.2202301025391,68.1822128295898,20.9035491943359,38.4244995117188,1.118,1.2919,8.5439,13.4152,17.3284,14.9834
"2016-08-16",1.53669047355652,51.5090255737305,67.8752822875977,68.295654296875,20.7809562683105,38.2019996643066,1.1295,1.298,8.5879,13.2747,17.1874,14.96
"2016-08-17",1.50109624862671,51.6166458129883,68.1731948852539,68.3928604125977,20.7923622131348,38.2314987182617,1.1276,1.3008,8.6286,13.4103,17.4917,15.1094
"2016-08-18",1.52441644668579,51.6525001525879,68.5494918823242,67.5583190917969,21.1829471588135,38.2229995727539,1.1321,1.3154,8.726,13.2748,17.4272,15.0357
"2016-08-19",1.52834439277649,51.6704483032227,68.4476089477539,67.9310073852539,20.7581520080566,37.8655014038086,1.1326,1.312,8.6842,13.5118,17.7268,15.2791
"2016-08-22",1.53472661972046,51.7152824401855,68.0869522094727,67.7284545898438,20.7267875671387,37.9739990234375,1.1306,1.3086,8.7385,13.6194,17.8223,15.379
"2016-08-23",1.54714608192444,51.9125633239746,68.5181350708008,68.0687789916992,20.5186614990234,38.122501373291,1.1339,1.3181,8.7564,13.447,17.7481,15.253
"2016-08-24",1.52329075336456,51.966365814209,68.4476089477539,67.3719711303711,20.5927906036377,37.8624992370605,1.1268,1.3242,8.8193,14.0297,18.543,15.8556
"2016-08-25",1.51320767402649,52.1636543273926,68.9101028442383,67.1207962036133,20.304838180542,37.9609985351562,1.129,1.3197,8.7786,14.1437,18.6994,15.9626
"2016-08-26",1.52550435066223,52.0381126403809,68.6592636108398,66.9749450683594,20.2820320129395,38.4500007629395,1.129,1.3201,8.8031,14.181,18.7501,16.0089
"2016-08-30",1.51566731929779,51.9125633239746,68.6279067993164,66.8291015625,20.3305053710938,38.3790016174316,1.1168,1.3084,8.7416,14.3969,18.8289,16.077
"2016-08-31",1.50853502750397,51.5269546508789,68.4476089477539,66.3996734619141,20.3675651550293,38.4580001831055,1.1132,1.3138,8.747,14.4331,18.9666,16.0872
"2016-09-01",1.55304837226868,51.6435356140137,69.2315673828125,65.9945297241211,20.7667064666748,38.5309982299805,1.1146,1.3246,8.873,14.6482,19.3642,16.3181
"2016-09-02",1.53780055046082,51.7152824401855,69.1452941894531,66.1889877319336,20.6697673797607,38.6220016479492,1.1193,1.3257,8.8884,14.6663,19.4798,16.4072
"2016-09-06",1.55231058597565,51.6614761352539,69.4902496337891,66.5049819946289,20.8123226165771,39.4435005187988,1.1159,1.3331,8.9608,14.2719,19.0351,15.936
"2016-09-07",1.52943897247314,51.7063140869141,68.9493255615234,67.8338012695312,20.5443229675293,39.2239990234375,1.1237,1.3381,8.8844,14.0174,18.7855,15.7584
"2016-09-08",1.54050612449646,51.500057220459,68.8160400390625,67.6879501342773,20.4787502288818,39.2029991149902,1.1296,1.3372,8.8722,13.9718,18.6594,15.7511
"2016-09-09",1.46377563476562,50.4060363769531,67.6087341308594,65.4597625732422,20.042552947998,38.0069999694824,1.1268,1.3315,8.8614,14.2696,18.97,16.0762
"2016-09-12",1.49402523040771,51.1592979431152,69.1845092773438,66.3753509521484,20.5101127624512,38.5745010375977,1.1226,1.3265,8.8848,14.5416,19.3004,16.3549
"2016-09-13",1.47238337993622,50.6929893493652,68.243782043457,65.0060577392578,20.3732643127441,38.0504989624023,1.1247,1.327,8.8025,14.2779,18.9889,16.0355
"2016-09-14",1.48541760444641,50.4508590698242,68.2123718261719,65.646125793457,20.3903713226318,38.054500579834,1.1218,1.3199,8.7929,14.3289,18.9392,16.0827
"2016-09-15",1.54173564910889,51.284839630127,69.0355453491211,66.464485168457,20.6412582397461,38.4845008850098,1.1254,1.3224,8.8,14.3549,18.9944,16.122
"2016-09-16",1.54542446136475,51.3386459350586,69.027717590332,66.4806671142578,20.7752571105957,38.9259986877441,1.1226,1.3171,8.7246,14.1289,18.6593,15.8738
"2016-09-19",1.5658370256424,51.051700592041,69.2785720825195,66.3429412841797,20.5528812408447,38.7550010681152,1.1165,1.305,8.7052,14.1177,18.4518,15.7511
"2016-09-20",1.55157279968262,50.9440765380859,69.4432220458984,66.1970901489258,20.5186614990234,39.0110015869141,1.1184,1.2969,8.637,13.9122,18.0983,15.5691
"2016-09-21",1.59510254859924,51.7959938049316,68.8317260742188,67.6312561035156,20.5813903808594,39.4869995117188,1.115,1.2998,8.6423,13.7783,17.8711,15.3655
"2016-09-22",1.59903728961945,51.8497924804688,69.7646255493164,67.6555404663086,20.6041946411133,40.2350006103516,1.1238,1.3053,8.7252,13.4265,17.5565,15.0947
"2016-09-23",1.59731554985046,51.500057220459,68.8003540039062,66.7966918945312,20.6270008087158,40.2874984741211,1.1214,1.2974,8.643,13.596,17.6931,15.2329
"2016-09-26",1.58231365680695,51.0247955322266,68.8709182739258,66.7399749755859,20.4188804626465,39.9580001831055,1.1262,1.2926,8.6528,13.696,17.7001,15.393
"2016-09-27",1.6364187002182,51.966365814209,69.2707214355469,67.153190612793,20.6213035583496,40.8055000305176,1.122,1.2956,8.6608,13.5643,17.5896,15.2531
"2016-09-28",1.64232087135315,52.0381126403809,70.1331176757812,70.1592102050781,20.4673519134521,41.4360008239746,1.1225,1.3018,8.6687,13.459,17.5041,15.0781
"2016-09-29",1.65756845474243,51.4731597900391,69.168815612793,70.8722305297852,20.1651420593262,41.4524993896484,1.1221,1.3015,8.6525,13.6613,17.7754,15.3321
"2016-09-30",1.68511271476746,51.6525001525879,70.3604354858398,71.9255218505859,20.5614318847656,41.8655014038086,1.1161,1.2961,8.6636,13.9679,18.1199,15.628
"2016-10-03",1.68339133262634,51.4910926818848,69.5059356689453,71.5285186767578,20.530065536499,41.8370018005371,1.1236,1.2885,8.5584,13.6339,17.5278,15.3218
"2016-10-04",1.67970252037048,51.3296775817871,69.2628936767578,70.9046325683594,20.455940246582,41.7014999389648,1.1161,1.2765,8.505,13.6163,17.4043,15.2203
"2016-10-05",1.6779807806015,51.6883811950684,69.6548767089844,72.4522094726562,20.4331359863281,42.2179985046387,1.1211,1.2725,8.497,13.7419,17.4865,15.419
"2016-10-06",1.65609288215637,51.7780647277832,69.9449310302734,72.3468780517578,19.7745532989502,42.0830001831055,1.1185,1.2706,8.433,13.7536,17.5001,15.402
"2016-10-07",1.64404284954071,51.8318481445312,70.5564422607422,71.6824798583984,19.5863876342773,41.9715003967285,1.114,1.2378,8.3123,13.92,17.3053,15.4735
"2016-10-11",1.62633526325226,51.284839630127,69.411865234375,70.8722305297852,19.2129058837891,41.5499992370605,1.1079,1.2257,8.2153,14.1472,17.3953,15.7175
"2016-10-12",1.63371348381042,51.2131080627441,69.4353637695312,70.9613418579102,19.2328662872314,41.7044982910156,1.102,1.2255,8.1845,14.4137,17.6921,15.8933
"2016-10-13",1.60715317726135,51.042724609375,69.1766586303711,70.4670944213867,19.4523868560791,41.4640007019043,1.1038,1.2205,8.201,14.3599,17.4573,15.7822
"2016-10-14",1.62289237976074,51.4910926818848,69.3256149291992,71.0342483520508,19.5151119232178,41.1479988098145,1.1002,1.2235,8.2009,14.2449,17.3788,15.6872
"2016-10-17",1.6135470867157,51.3117599487305,68.8552398681641,70.7263946533203,19.4495429992676,40.6474990844727,1.0994,1.2162,8.1864,14.3507,17.4591,15.765
"2016-10-18",1.63814032077789,51.7063140869141,68.5573348999023,70.6696701049805,19.6348514556885,40.8824996948242,1.0993,1.2281,8.2917,14.0369,17.2036,15.4651
"2016-10-19",1.63469731807709,51.589729309082,67.5777053833008,71.3016662597656,19.640552520752,40.8844985961914,1.0979,1.2302,8.2788,13.9,17.1012,15.2858
"2016-10-20",1.66568434238434,51.3386459350586,67.095817565918,70.8112106323242,19.5949420928955,40.515998840332,1.098,1.226,8.2548,13.9203,17.0761,15.2727
"2016-10-21",1.66101181507111,53.4997978210449,66.6218185424805,70.5659866333008,19.483757019043,40.9495010375977,1.0886,1.2209,8.2487,14.0436,17.1823,15.2857
"2016-10-24",1.73897171020508,54.7014350891113,66.4401016235352,70.2880859375,19.7260913848877,41.9044990539551,1.0891,1.224,8.2666,13.8812,16.9753,15.1166
"2016-10-25",1.76749920845032,54.6924743652344,68.7074356079102,69.0538024902344,19.7745532989502,41.7589988708496,1.0872,1.2233,8.2262,13.8599,16.9485,15.0865
"2016-10-26",1.77463114261627,54.3696556091309,69.0471420288086,68.7677154541016,19.8401260375977,41.1295013427734,1.0925,1.2214,8.2832,13.7222,16.752,14.9764
"2016-10-27",1.73823356628418,53.8943672180176,68.3993453979492,67.8522338867188,19.9085521697998,40.9179992675781,1.0927,1.226,8.2572,13.8906,17.0382,15.1637
"2016-10-28",1.73528254032135,53.6881217956543,68.6047286987305,68.563362121582,19.9541625976562,38.8160018920898,1.0922,1.2135,8.2295,13.9372,16.9623,15.2111
"2016-10-31",1.75003826618195,53.7329635620117,68.5731430053711,68.2200622558594,19.9627227783203,39.4910011291504,1.0946,1.2171,8.2732,13.7383,16.7394,15.0565
"2016-11-01",1.69814729690552,53.6253356933594,68.6126403808594,67.2228164672852,19.7574481964111,39.2705001831055,1.1025,1.2234,8.2644,13.5033,16.5564,14.8347
"2016-11-02",1.69101536273956,53.2935562133789,68.5257263183594,66.2991485595703,19.8002128601074,38.2779998779297,1.1095,1.23105,8.318,13.486,16.5454,14.9587
"2016-11-03",1.67134058475494,53.0962715148926,68.4151077270508,66.4299545288086,19.8515338897705,38.3515014648438,1.1064,1.24615,8.4211,13.4762,16.6424,14.968
"2016-11-04",1.66174972057343,52.6478958129883,67.2143096923828,67.280029296875,19.7175331115723,37.752498626709,1.1093,1.24985,8.4721,13.5043,16.8433,14.9932
"2016-11-07",1.75274348258972,54.181324005127,68.3835296630859,68.4571075439453,19.8942966461182,39.2464981079102,1.1062,1.2417,8.395,13.5353,16.7871,14.97
"2016-11-08",1.75003826618195,54.2261619567871,69.0945434570312,69.2172775268555,19.8971481323242,39.3875007629395,1.1038,1.2406,8.4169,13.4174,16.6805,14.8376
"2016-11-09",1.72052705287933,53.9571418762207,67.8858184814453,74.5467224121094,20.2706279754639,38.5940017700195,1.1022,1.24405,8.4332,13.5135,16.7906,15.025
"2016-11-10",1.66666781902313,52.6389274597168,65.5394821166992,76.3858489990234,20.353307723999,37.1189994812012,1.0895,1.241,8.4889,13.3743,16.6383,14.6121
"2016-11-11",2.1634464263916,52.9258804321289,66.0292816162109,76.0262145996094,20.3076877593994,36.9505004882812,1.0904,1.26205,8.565,14.2372,17.8898,15.51
"2016-11-14",2.05695867538452,52.1188049316406,65.5710983276367,76.9743957519531,20.0967178344727,35.953498840332,1.0777,1.253,8.5237,14.454,18.0653,15.5467
"2016-11-15",2.11967206001282,53.1480102539062,66.0608749389648,77.1950988769531,20.3618621826172,37.1619987487793,1.0765,1.2426,8.49,14.1777,17.7087,15.307
"2016-11-16",2.25345802307129,53.8522033691406,65.7211837768555,76.3041305541992,20.353307723999,37.3245010375977,1.0702,1.2427,8.5433,14.2208,17.7354,15.2418
"2016-11-17",2.27214789390564,54.7459678649902,65.6264038085938,75.8382186889648,19.7260913848877,37.8199996948242,1.0717,1.24905,8.5504,14.2963,17.7954,15.3199
"2016-11-18",2.29600310325623,54.4841499328613,64.7810821533203,75.4785308837891,19.5407676696777,38.007999420166,1.0629,1.24165,8.4796,14.5491,18.0575,15.4096
"2016-11-21",2.28665781021118,54.9445762634277,65.2866821289062,75.9362945556641,19.7774047851562,39,1.0631,1.23835,8.5968,14.3638,17.73,15.2795
"2016-11-22",2.30313491821289,55.1793212890625,65.381477355957,76.5248260498047,19.9912281036377,39.2664985656738,1.0617,1.24515,8.5563,14.1399,17.6593,15.0364
"2016-11-23",2.31446504592896,54.5293045043945,65.3182678222656,78.6173629760742,20.1936511993408,39.0060005187988,1.0602,1.2397,8.5795,14.0987,17.4874,14.9714
"2016-11-28",2.31791400909424,54.718879699707,65.6264038085938,77.5711059570312,20.2962913513184,38.3385009765625,1.0588,1.2403,8.5711,13.8572,17.3353,14.7794
"2016-11-29",2.2967312335968,55.1522369384766,65.4841766357422,76.8681640625,20.3476085662842,38.1259994506836,1.0576,1.2475,8.6215,13.8499,17.1967,14.6968
"2016-11-30",2.27087020874023,54.4028930664062,65.1444625854492,78.1105422973633,20.079610824585,37.5284996032715,1.0635,1.2452,8.6026,13.9918,17.4695,14.8859
"2016-12-01",2.15855836868286,53.4459342956543,64.6704559326172,78.6664123535156,20.1480369567871,37.1824989318848,1.0627,1.2621,8.6877,13.9822,17.5357,14.8295
"2016-12-02",2.17850780487061,53.4910774230957,65.0970840454102,77.7672653198242,20.2079067230225,37.0169982910156,1.0642,1.262,8.7125,14.0696,17.7481,15.0046
"2016-12-05",2.26298880577087,54.3667831420898,65.5631866455078,77.2032699584961,19.9399147033691,37.9679985046387,1.0702,1.2732,8.7392,13.8069,17.5672,14.7057
"2016-12-06",2.30017995834351,54.1230392456055,65.4999847412109,77.8326644897461,20.0596580505371,38.2360000610352,1.0734,1.2754,8.7446,13.693,17.4674,14.7562
"2016-12-07",2.34155821800232,55.4050178527832,66.5032958984375,79.5573883056641,20.2721405029297,38.5209999084473,1.073,1.25935,8.6725,13.6527,17.2304,14.6411
