"asset","kurtosis","max","mean","min","sd","skewness"
"AMZN",12.2688766458897,0.23862098411982,0.000973345599550624,-0.246181552697029,0.0244348838620387,0.394630901869621
"CAT",5.24045963690398,0.137350167682958,0.000524037814198207,-0.156859002248441,0.020672924408472,-0.249867540424256
"MSFT",8.76700721607195,0.17062572495211,0.000681151693973862,-0.159453251418292,0.0177697534611809,-0.0699007174643405
"NVDA",8.638223264325,0.260876137028662,0.00138196390546614,-0.36710869108206,0.0315745195104368,-0.287127568825733
"PG",9.64088060511698,0.113409373766945,0.00036657723780682,-0.0914286711795267,0.0117722485082383,-0.124229866322706
"WMT",12.2753271261757,0.11072306818585,0.00044748734354589,-0.120764670017135,0.0131180983121479,-0.037943189649782
